Product, Customer Name, Rating, Heading, Comment 
iphone11,Manish  Deshlahare,5,Terrific,('Very very good',)
iphone11,Flipkart Customer,5,Wonderful,('This is amazing at all',)
iphone11,siva sankar,5,Classy product,('Photos super',)
iphone11,Abhishek Sachdeva,5,Worth every penny,('Feeling awesome after getting the delivery of my phone. Dual speakers makes the sound quality very loud. Amazing!!',)
iphone11,Steevan Rattra ,5,Best in the market!,('Good Camera',)
iphone11,Vikram rapolu,5,Just wow!,('Perfect Product!!',)
iphone11,Shivendra Mani ,5,Great product,('Purple is best',)
iphone11,Shivendra Mani ,No Rating,No Comment Heading,('Purple is best',)
