Product, Customer Name, Rating, Heading, Comment 
iphone13,Flipkart Customer,5,Terrific,('Happy to have this phone',)
iphone13,Pushpita Mayra,5,Must buy!,('Awesome phone Excellent camera quality',)
iphone13,Srinivash Bhoi,5,Perfect product!,('Pros-rear Camera is awesome.double speaker sound equal loud and base is superb display superb. Design also good.Battery back up superb.Cons-front camera is good not awesomeAfter switching from android you feel one minus point is the display notch .',)
iphone13,Shivang Palyal,5,Classy product,('This is awosome .. camera is best . Here some photos i m sharing with you guys ..',)
iphone13,Rishi Raj,5,Great product,('Beast phone …. Camera is exceptionally best',)
iphone13,Ashish  Kumar,5,Wonderful,('Just amazing',)
iphone13,Sachin Saini,4,Really Nice,('My first I phone ..from a long time android user… apple camera is way ahead  ... interface is better than android….overall premium features and feeling. .;but prices way aboveboard',)
iphone13,Sachin Saini,No Rating,No Comment Heading,('My first I phone ..from a long time android user… apple camera is way ahead  ... interface is better than android….overall premium features and feeling. .;but prices way aboveboard',)
